Authorisation List
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:13:15


"Substance Identifier"	""	
"Entry No."	""	
"Date of inclusion in Authorisation List (from)"	""	
"Date of inclusion in Authorisation List (to)"	""	
"Latest application date (from)"	""	
"Latest application date (to)"	""	
"Sunset Date (from)"	""	
"Sunset Date (to)"	""	
"Intrinsic property"	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry No."	"Latest application date"	"Latest application date (text)"	"Sunset Date"	"Sunset date (text)"	"Exempted (categories of) uses"	"Intrinsic property"	"Review Periods"	"Date of inclusion in Authorisation List"	"Regulation amending Annex XIV"	"Remarks"	"First published"	
"Dibutyl phthalate (DBP)"	""	"201-557-4"	"84-74-2"	"06"	"21-Aug-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/06/2023 for uses in:
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing DBP at or above 0,1 % and below 0,3 % weight by weight;"	"21-Feb-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/12/2024 for uses in:
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing DBP at or above 0,1 % and below 0,3 % weight by weight;"	""	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - human health and the environment)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R2045"">Commission Regulation (EU) 2021/2045</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"Diisobutyl phthalate (DIBP)"	""	"201-553-2"	"84-69-5"	"07"	"21-Aug-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/06/2023 for uses in:
- mixtures containing DIBP at or above 0,1 % and below 0,3 % weight by weight;"	"21-Feb-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/12/2024 for uses in:
- mixtures containing DIBP at or above 0,1 % and below 0,3 % weight by weight;"	""	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - human health)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R2045"">Commission Regulation (EU) 2021/2045</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Diarsenic trioxide"	""	"215-481-4"	"1327-53-3"	"08"	"21-Nov-2013"	""	"21-May-2015"	""	""	"Carcinogenic (Article 57a)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Diarsenic pentaoxide"	""	"215-116-9"	"1303-28-2"	"09"	"21-Nov-2013"	""	"21-May-2015"	""	""	"Carcinogenic (Article 57a)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Lead chromate"	""	"231-846-0"	"7758-97-6"	"10"	"21-Nov-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	"21-May-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	""	"Carcinogenic (Article 57a)""Toxic for reproduction (Article 57c)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Lead sulfochromate yellow"	"-"	"215-693-7"	"1344-37-2"	"11"	"21-Nov-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	"21-May-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	""	"Carcinogenic (Article 57a)""Toxic for reproduction (Article 57c)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Lead chromate molybdate sulfate red"	"-"	"235-759-9"	"12656-85-8"	"12"	"21-Nov-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	"21-May-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	""	"Carcinogenic (Article 57a)""Toxic for reproduction (Article 57c)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Tris(2-chloroethyl) phosphate"	""	"204-118-5"	"115-96-8"	"13"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"Toxic for reproduction (Article 57c)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"2,4-dinitrotoluene (2,4-DNT)"	""	"204-450-0"	"121-14-2"	"14"	"21-Feb-2014"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	"21-Aug-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	""	"Carcinogenic (Article 57a)"	""	"14-Feb-2012"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012R0125&qid=1644848496011"">Commission Regulation (EU) 125/2012</a>"	""	"11-Jan-2016"	
"Trichloroethylene"	""	"201-167-4"	"79-01-6"	"15"	"21-Oct-2014"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	"21-Apr-2016"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance."	""	"Carcinogenic (Article 57a)"	""	"17-Apr-2013"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32013R0348&qid=1644848496011"">Commission Regulation (EU) 348/2013</a>"	""	"11-Jan-2016"	
