Chemical Name;CAS number;Category
1-Chloro-1,2,2-trifluoroethane;431-07-2;Ozone Depleting
1-Chloro-1,1,2-trifluoroethane;421-04-5;Ozone Depleting
1,1,1,2-Tetrachloro-2-fluoroethane;354-11-0;Ozone Depleting
1,1,2,2-Tetrachloro-1-fluoroethane;354-14-3;Ozone Depleting
Trichlorodifluoroethane;41834-16-6;Ozone Depleting
1,1,2-Trichloro-1,2-difluoroethane;354-15-4;Ozone Depleting
1,1,2,3,3-Pentachloro-1,2,3-trifluoropropane;1652-74-0;Ozone Depleting
1,1,1,2,2-Pentachloro-3,3,3-trifluoropropane;1652-89-7;Ozone Depleting
1,1,1,2,3-Pentachloro-2,3,3-trifluoropropane;2354-05-4;Ozone Depleting
1,1,1,3,3-Pentachloro-2,2,3-trifluoropropane;2354-06-5;Ozone Depleting
1,1,2,2,3-Pentachloro-1,3,3-trifluoropropane;;Ozone Depleting
Dichlorotrifluoroethane;34077-87-7;Ozone Depleting
1,1-Dichloro-1,2,2-trifluoroethane;812-04-4;Ozone Depleting
1,1,1-Trichloro-2,2-difluoroethane;354-12-1;Ozone Depleting
1,1-Dichloro-1,2-difluoroethane;1842-05-3;Ozone Depleting
1,1,3,3-Tetrachloro-1,2,2-trifluoropropane;422-52-6;Ozone Depleting
1,1,1,3,3,3-Hexachloro-2,2-difluoropropane;3182-26-1;Ozone Depleting
1,1,1,2,2,3-Hexachloro-3,3-difluoropropane;661-96-1;Ozone Depleting
Tetrachlorotetrafluoropropane;29255-31-0;Ozone Depleting
1,2,2,3-Tetrachloro-1,1,3,3-tetrafluoropropane;677-68-9;Ozone Depleting
1,2-Dichloro-1-fluoroethane;430-57-9;Ozone Depleting
1-Chloro-1,2-difluoroethane;338-64-7;Ozone Depleting
1-Chloro-1-fluoroethane;1615-75-4;Ozone Depleting
1,1,2,2,3,3-Hexachloro-1-fluoropropane;422-28-6;Ozone Depleting
Bromochloromethane;74-97-5;Ozone Depleting
1,2-Dichloro-1,1,2-trifluoroethane;354-23-4;Ozone Depleting
1-Chloro-1,1,2,2-tetrafluoroethane;354-25-6;Ozone Depleting
1,1,2-Trichloro-2-fluoroethane;359-28-4;Ozone Depleting
1,2-Dichloro-1,1-difluoroethane;1649-08-7;Ozone Depleting
1,1,2,2,3,3-Hexachloro-1,3-difluoropropane;1599-44-6;Ozone Depleting
1,1,1,2,3,3-Hexachloro-2,3-difluoropropane;;Ozone Depleting
1,1,2,2-Tetrachloro-1,3,3,3-tetrafluoropropane;2268-44-2;Ozone Depleting
1,1,2,3-Tetrachloro-1,2,3,3-tetrafluoropropane;2268-45-3;Ozone Depleting
1,2-Dibromo-1,1,2,2-tetrafluoroethane;124-73-2;Ozone Depleting
1,1-Dichloro-2-fluoroethane;430-53-9;Ozone Depleting
1-Chloro-2,2-difluoroethane;338-65-8;Ozone Depleting
1-Chloro-2-fluoroethane;762-50-5;Ozone Depleting
